,,,,,,,,,,,,
Colegio,Taller,Ponente,Sesión 1,Sesión 2,Sesión 3,Sesión 4,Sesión 5,Lugar,Hora,Pilar,Dirigido a familias con hijos de:,
Thezia,Conecta,Conecta,30-sept,29-oct,25-nov,11-feb,8-abr,Conecta,,Matrimonio y vida familiar,Todas las edades,https://docs.google.com/forms/d/e/1FAIpQLSfvxFCdxSJQ2a70AX3bOgtuP8JtDu481D4SfRXlVujbz_Okcg/viewform?usp=header
Thezia,Educar el corazón (Primaria),Luly,20-ene,,,,,Thezia,19:30,Educación del carácter y virtudes,6 a 12 años,https://docs.google.com/forms/d/e/1FAIpQLSd8bSwkPBIyicW0ygwYP2ljuY3KmnuvQYszZ4mXE3DBweKasA/viewform?usp=header
Thezia,Educar el corazón (Kinder),Luly,19-ene,,,,,Thezia,19:30,Educación del carácter y virtudes,Kinder,https://docs.google.com/forms/d/e/1FAIpQLScVAgSpjlwWazUwYDpYrR_pOvheJELPwmhggYMozMRWR-xPVQ/viewform?usp=header
Thezia,Baransú (Todos),Ana Torres,4- mar,,,,,Thezia,19:30,Autoconocimiento e identidad,Todas las edades,https://docs.google.com/forms/d/e/1FAIpQLSf4-5VZ34nxbq9b2KQzAxHV3dQto5o0GXjGJ7gjYH1s172_Cg/viewform?usp=header
Thezia,Dirección hogar empresa,,27-oct,2-dic,26-ene,22-abr,,Thezia,,Educación del carácter y virtudes,Todas las mamás,https://docs.google.com/forms/d/e/1FAIpQLScgdprOHLWU0Z-7j9d1Dc7mR5SJGZ4YzDRPjaOylDxtpL68Xg/viewform?usp=header
Thezia,Gestos de cariño,LovED,14-abr,15-abr,,,,Thezia,19:30,Autoconocimiento e identidad,14 a 18 años,https://docs.google.com/forms/d/e/1FAIpQLSevIoQ2vA8-h68jzlY8SNORlfYRyb6EHVSUxg_18Lgcfx0Ltg/viewform?usp=header
Campogrande,Gestos de cariño,LovED,13-abr,14-abr,,,,Campogrande,19:30,Autoconocimiento e identidad,14 a 18 años,https://docs.google.com/forms/d/e/1FAIpQLSdz9_iIYs9_VzQjDWwrbKcXLQKCakyHgPQz-qYNvqDhlVhRdw/viewform?usp=header
Campogrande,Vivir la piedad en familia,P. José María ,1-dic,,,,,Campogrande,19:30,Fe y vida espiritual,6 a 12 años,https://docs.google.com/forms/d/e/1FAIpQLSemzdqA8KILssV55eL0_DstHJo14SDoRqGNrunXNfGqP2nU7g/viewform?usp=header
Campogrande,Crecer Entre Pantallas (K y E),Cristina Fortuny,19-nov,,,,,Campogrande,19:30,Educación del carácter y virtudes,3 a 12 años,https://docs.google.com/forms/d/e/1FAIpQLSdoYePTMq9i7ce6jbRf5XG0f7oMbAtgEcTIlGGGAPwECqwtoQ/viewform?usp=header
Campogrande,Cuando jugar deja de ser un juego (HS y JH),Cristina Fortuny,18-nov,,,,,Campogrande,19:30,Educación del carácter y virtudes,12 a 18 años,https://docs.google.com/forms/d/e/1FAIpQLSf6-Yn8xtBSgVrDVdAt2KgbTobqG5eg2UwoJ5StuFT-51xfAw/viewform?usp=header
Campogrande ,Conecta Kinder,Conecta,por definir,por definir,por definir,,,Campogrande ,,Matrimonio y vida familiar,Kinder,https://docs.google.com/forms/d/e/1FAIpQLSfRXkYzbZgJ_IGxaHSsOEBYdhhZ4_l0tghVklS6x6bGkcY31Q/viewform?usp=header
Campogrande ,Proyecto Familiar,Daniel Villegas,por definir,,,,,Campogrande ,19:30,Matrimonio y vida familiar,Todas las edades,https://docs.google.com/forms/d/e/1FAIpQLSdZJHtyB6Ty4DxdQd5vROvrSpGSkUDqoNctQ2JozTctWk0vmw/viewform?usp=header
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Campogrande,Conecta (APA),,29-sept,por definir,24-nov,,,Campogrande,19:30,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,27-ene,,,,,,,,,,,
,20-abr,,,,,,,,,,,
,6-oct,,,,,,,,,,,
